,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,team_name
564,Anureet Singh,2009-2009,3,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
565,VG Arora,2023-2024,15,4,4,4,2*,0.00,133.33,-,-,-, Kolkata Knight Riders
566,Azhar Mahmood,2015-2015,1,1,-,6,6,6.00,85.71,-,-,-, Kolkata Knight Riders
567,L Balaji,2011-2013,35,5,4,13,9*,13.00,108.33,-,-,1, Kolkata Knight Riders
568,SB Bangar,2009-2009,1,1,-,2,2,2.00,22.22,-,-,-, Kolkata Knight Riders
569,T Banton,2020-2020,2,2,-,18,10,9.00,90.00,-,-,-, Kolkata Knight Riders
570,R Bhatia,2011-2013,46,22,10,159,26*,13.25,122.30,-,-,-, Kolkata Knight Riders
571,SW Billings,2022-2022,8,8,1,169,36,24.14,122.46,-,-,-, Kolkata Knight Riders
572,MS Bisla,2011-2014,27,27,1,543,92,20.88,109.91,-,3,2, Kolkata Knight Riders
573,SE Bond,2010-2010,8,1,-,1,1,1.00,50.00,-,-,-, Kolkata Knight Riders
574,J Botha,2015-2015,4,3,-,31,17,10.33,206.66,-,-,-, Kolkata Knight Riders
575,MV Boucher,2011-2011,4,3,2,6,5,6.00,100.00,-,-,-, Kolkata Knight Riders
576,TA Boult,2017-2017,6,1,1,5,5*,0.00,62.50,-,-,-, Kolkata Knight Riders
577,CR Brathwaite,2019-2019,2,2,-,11,6,5.50,110.00,-,-,-, Kolkata Knight Riders
578,DM Bravo,2017-2017,1,1,1,6,6*,0.00,120.00,-,-,-, Kolkata Knight Riders
579,KC Cariappa,2015-2019,2,1,1,9,9*,0.00,300.00,-,-,-, Kolkata Knight Riders
580,PVD Chameera,2024-2024,1,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
581,PP Chawla,2014-2019,70,29,11,183,22,10.16,108.28,-,-,5, Kolkata Knight Riders
582,A Chopra,2008-2009,7,6,-,53,24,8.83,74.64,-,-,-, Kolkata Knight Riders
583,NM Coulter-Nile,2017-2017,8,3,-,14,6,4.66,116.66,-,-,-, Kolkata Knight Riders
584,PJ Cummins,2014-2022,30,22,7,302,66*,20.13,154.08,-,3,4, Kolkata Knight Riders
585,TK Curran,2018-2018,5,4,1,23,18,7.66,82.14,-,-,-, Kolkata Knight Riders
586,DB Das,2008-2013,31,22,8,304,35*,21.71,116.47,-,-,1, Kolkata Knight Riders
587,C de Grandhomme,2017-2017,12,9,1,126,36,15.75,136.95,-,-,3, Kolkata Knight Riders
588,M de Lange,2012-2012,3,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
589,JL Denly,2019-2019,1,1,-,-,-,0.00,0.00,-,-,1, Kolkata Knight Riders
590,AB Dinda,2008-2010,29,6,2,4,2,1.00,50.00,-,-,2, Kolkata Knight Riders
591,P Dogra,2013-2013,1,1,-,5,5,5.00,62.50,-,-,-, Kolkata Knight Riders
592,LH Ferguson,2019-2023,21,5,5,61,24*,0.00,152.50,-,-,-, Kolkata Knight Riders
593,AJ Finch,2022-2022,5,5,-,86,58,17.20,140.98,-,1,-, Kolkata Knight Riders
594,G Gambhir,2011-2017,108,108,12,3035,93,31.61,124.28,-,27,10, Kolkata Knight Riders
595,SC Ganguly,2008-2010,40,38,2,1031,91,28.63,110.50,-,7,3, Kolkata Knight Riders
596,RS Gavaskar,2010-2010,2,1,-,2,2,2.00,25.00,-,-,-, Kolkata Knight Riders
597,CH Gayle,2009-2010,16,16,1,463,88,30.86,141.59,-,2,1, Kolkata Knight Riders
598,AN Ghosh,2009-2009,2,2,-,7,7,3.50,87.50,-,-,1, Kolkata Knight Riders
599,SP Goswami,2011-2011,5,4,-,29,22,7.25,100.00,-,-,1, Kolkata Knight Riders
600,CJ Green,2020-2020,1,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
601,HF Gurney,2019-2019,8,1,1,1,1*,0.00,20.00,-,-,-, Kolkata Knight Riders
602,BJ Haddin,2011-2011,1,1,-,18,18,18.00,163.63,-,-,-, Kolkata Knight Riders
603,Harbhajan Singh,2021-2021,3,2,2,4,2*,0.00,100.00,-,-,-, Kolkata Knight Riders
604,Harpreet Singh,2010-2010,1,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
605,Harshit Rana,2022-2024,21,3,1,2,2,1.00,66.66,-,-,1, Kolkata Knight Riders
606,JW Hastings,2016-2016,2,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
607,MC Henriques,2009-2009,4,3,1,38,30*,19.00,95.00,-,-,-, Kolkata Knight Riders
608,BJ Hodge,2008-2010,19,19,3,476,73,29.75,114.14,-,4,2, Kolkata Knight Riders
609,GB Hogg,2015-2016,11,3,2,7,5,7.00,116.66,-,-,-, Kolkata Knight Riders
610,JO Holder,2016-2016,4,4,-,22,13,5.50,115.78,-,-,1, Kolkata Knight Riders
611,DJ Hussey,2008-2010,23,23,4,511,71,26.89,126.48,-,2,3, Kolkata Knight Riders
612,B Indrajith,2022-2022,3,3,-,21,15,7.00,70.00,-,-,1, Kolkata Knight Riders
613,Iqbal Abdulla,2008-2013,33,8,8,26,12*,0.00,81.25,-,-,-, Kolkata Knight Riders
614,SS Iyer,2022-2024,29,28,6,752,85,34.18,140.03,-,5,1, Kolkata Knight Riders
615,VR Iyer,2021-2024,51,49,7,1326,104,31.57,137.12,1,11,2, Kolkata Knight Riders
616,SP Jackson,2017-2022,9,8,2,61,16,10.16,107.01,-,-,1, Kolkata Knight Riders
617,N Jagadeesan,2023-2023,6,6,-,89,36,14.83,109.87,-,-,1, Kolkata Knight Riders
618,IR Jaggi,2017-2017,2,2,1,33,28,33.00,84.61,-,-,-, Kolkata Knight Riders
619,MG Johnson,2018-2018,6,2,2,16,12*,0.00,145.45,-,-,-, Kolkata Knight Riders
620,JH Kallis,2011-2014,56,54,5,1295,80*,26.42,106.76,-,7,5, Kolkata Knight Riders
621,KD Karthik,2018-2021,61,58,18,1143,97*,28.57,140.41,-,5,4, Kolkata Knight Riders
622,M Kartik,2008-2010,26,7,2,73,21,14.60,105.79,-,-,-, Kolkata Knight Riders
623,K Khejroliya,2023-2023,2,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
624,Kuldeep Yadav,2016-2020,45,11,5,57,16,9.50,76.00,-,-,2, Kolkata Knight Riders
625,CK Langeveldt,2009-2010,4,1,-,-,-,0.00,0.00,-,-,1, Kolkata Knight Riders
626,B Lee,2011-2013,25,9,3,68,25,11.33,165.85,-,-,-, Kolkata Knight Riders
627,Litton Das,2023-2023,1,1,-,4,4,4.00,100.00,-,-,-, Kolkata Knight Riders
628,CA Lynn,2014-2019,40,40,3,1274,93*,34.43,141.39,-,10,3, Kolkata Knight Riders
629,BB McCullum,2008-2013,35,35,3,882,158*,27.56,120.65,1,4,2, Kolkata Knight Riders
630,R McLaren,2013-2013,2,2,-,3,2,1.50,50.00,-,-,-, Kolkata Knight Riders
631,Mandeep Singh,2010-2023,6,5,-,18,12,3.60,66.66,-,-,2, Kolkata Knight Riders
632,Mashrafe Mortaza,2009-2009,1,1,1,2,2*,0.00,100.00,-,-,-, Kolkata Knight Riders
633,AD Mathews,2009-2010,15,12,4,249,65*,31.12,126.39,-,1,1, Kolkata Knight Riders
634,BAW Mendis,2008-2010,7,2,1,1,1*,1.00,50.00,-,-,1, Kolkata Knight Riders
635,Mohammad Hafeez,2008-2008,8,8,1,64,16,9.14,77.10,-,-,-, Kolkata Knight Riders
636,Mohammed Shami,2013-2013,3,1,-,5,5,5.00,50.00,-,-,-, Kolkata Knight Riders
637,EJG Morgan,2011-2021,57,52,10,995,68*,23.69,124.68,-,3,5, Kolkata Knight Riders
638,M Morkel,2014-2016,29,5,5,9,4*,0.00,128.57,-,-,-, Kolkata Knight Riders
639,C Munro,2016-2016,4,3,-,30,16,10.00,100.00,-,-,-, Kolkata Knight Riders
640,KL Nagarkoti,2020-2021,11,7,3,22,8*,5.50,66.66,-,-,2, Kolkata Knight Riders
641,NS Naik,2019-2020,2,2,-,8,7,4.00,42.10,-,-,-, Kolkata Knight Riders
642,SP Narine,2012-2024,177,110,20,1534,109,17.04,165.83,1,7,16, Kolkata Knight Riders
643,S Narwal,2013-2013,2,1,-,23,23,23.00,153.33,-,-,-, Kolkata Knight Riders
644,MK Pandey,2014-2024,56,53,12,1312,94,32.00,125.43,-,6,3, Kolkata Knight Riders
645,MB Parmar,2010-2010,1,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
646,YK Pathan,2011-2017,106,91,31,1893,72,31.55,138.27,-,7,7, Kolkata Knight Riders
647,RT Ponting,2008-2008,4,4,-,39,20,9.75,73.58,-,-,2, Kolkata Knight Riders
648,M Prasidh Krishna,2018-2021,34,7,5,3,2*,1.50,25.00,-,-,2, Kolkata Knight Riders
649,Y Prithvi Raj,2019-2019,2,1,1,-,0*,0.00,0.00,-,-,-, Kolkata Knight Riders
650,CA Pujara,2010-2010,10,6,2,122,45*,30.50,106.08,-,-,-, Kolkata Knight Riders
651,A Raghuvanshi,2024-2024,10,7,-,163,54,23.28,155.23,-,1,-, Kolkata Knight Riders
652,AM Rahane,2022-2022,7,7,-,133,44,19.00,103.90,-,-,-, Kolkata Knight Riders
653,Rahmanullah Gurbaz,2023-2024,14,13,-,289,81,22.23,133.79,-,2,2, Kolkata Knight Riders
654,AS Rajpoot,2016-2017,9,1,-,4,4,4.00,57.14,-,-,-, Kolkata Knight Riders
655,Ramandeep Singh,2024-2024,15,9,5,125,35,31.25,201.61,-,-,-, Kolkata Knight Riders
656,N Rana,2018-2024,90,86,8,2199,87,28.19,136.32,-,14,7, Kolkata Knight Riders
657,Rasikh Salam,2022-2022,2,1,-,7,7,7.00,116.66,-,-,-, Kolkata Knight Riders
658,AS Roy,2022-2024,10,6,3,26,13*,8.66,108.33,-,-,2, Kolkata Knight Riders
659,JJ Roy,2023-2023,8,8,-,285,61,35.62,151.59,-,2,-, Kolkata Knight Riders
660,AD Russell,2014-2024,120,101,20,2426,88*,29.95,175.79,-,11,5, Kolkata Knight Riders
661,WP Saha,2008-2010,33,24,13,298,59*,27.09,139.90,-,1,1, Kolkata Knight Riders
662,Salman Butt,2008-2008,7,7,-,193,73,27.57,119.87,-,1,-, Kolkata Knight Riders
663,PD Salt,2024-2024,12,12,1,435,89*,39.54,182.00,-,4,1, Kolkata Knight Riders
664,S Sandeep Warrier,2019-2021,5,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
665,PJ Sangwan,2012-2013,3,1,1,4,4*,0.00,200.00,-,-,-, Kolkata Knight Riders
666,SS Sarkar,2009-2009,2,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
667,R Sathish,2016-2016,4,3,-,24,10,8.00,100.00,-,-,-, Kolkata Knight Riders
668,JPR Scantlebury-Searles,2018-2018,4,2,1,8,6*,8.00,133.33,-,-,-, Kolkata Knight Riders
669,TL Seifert,2021-2021,1,1,-,2,2,2.00,50.00,-,-,-, Kolkata Knight Riders
670,SMSM Senanayake,2013-2013,8,4,3,10,7*,10.00,58.82,-,-,-, Kolkata Knight Riders
671,OA Shah,2010-2010,5,5,3,115,58*,57.50,121.05,-,1,-, Kolkata Knight Riders
672,SS Shaikh,2009-2009,2,1,-,6,6,6.00,85.71,-,-,-, Kolkata Knight Riders
673,Shakib Al Hasan,2011-2021,51,38,10,545,66*,19.46,126.74,-,2,4, Kolkata Knight Riders
674,I Sharma,2008-2010,31,11,7,33,9,8.25,80.48,-,-,1, Kolkata Knight Riders
675,Shivam Mavi,2018-2022,32,12,3,51,20,5.66,91.07,-,-,3, Kolkata Knight Riders
676,Shoaib Akhtar,2008-2008,3,1,-,2,2,2.00,28.57,-,-,-, Kolkata Knight Riders
677,Shubman Gill,2018-2021,58,55,10,1417,76,31.48,123.00,-,10,1, Kolkata Knight Riders
678,LR Shukla,2008-2013,42,31,7,374,48*,15.58,119.87,-,-,2, Kolkata Knight Riders
679,RK Singh,2018-2024,46,40,11,893,67*,30.79,143.33,-,4,-, Kolkata Knight Riders
680,TG Southee,2021-2023,14,6,1,5,3,1.00,29.41,-,-,3, Kolkata Knight Riders
681,MA Starc,2024-2024,14,5,3,9,6*,4.50,81.81,-,-,2, Kolkata Knight Riders
682,Suyash Sharma,2023-2024,13,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
683,T Taibu,2008-2008,3,3,-,31,15,10.33,119.23,-,-,-, Kolkata Knight Riders
684,RN ten Doeschate,2011-2015,29,22,8,326,70*,23.28,138.72,-,1,3, Kolkata Knight Riders
685,SN Thakur,2023-2023,11,10,2,113,68,14.12,161.42,-,1,2, Kolkata Knight Riders
686,MK Tiwary,2010-2013,54,49,15,1002,75*,29.47,111.70,-,4,5, Kolkata Knight Riders
687,A Tomar,2022-2022,1,1,-,4,4,4.00,50.00,-,-,-, Kolkata Knight Riders
688,RA Tripathi,2020-2021,28,27,3,627,81,26.12,135.12,-,3,-, Kolkata Knight Riders
689,Umar Gul,2008-2008,6,4,1,39,24,13.00,205.26,-,-,-, Kolkata Knight Riders
690,JD Unadkat,2010-2016,12,-,-,-,-,0.00,0.00,-,-,-, Kolkata Knight Riders
691,RV Uthappa,2014-2019,86,84,4,2439,87,30.48,136.25,-,16,4, Kolkata Knight Riders
692,MN van Wyk,2009-2009,5,5,2,167,74,55.66,126.51,-,1,1, Kolkata Knight Riders
693,CV Varun,2020-2024,70,12,8,25,10*,6.25,54.34,-,-,1, Kolkata Knight Riders
694,R Vinay Kumar,2014-2018,11,5,3,10,6*,5.00,111.11,-,-,1, Kolkata Knight Riders
695,D Wiese,2023-2023,3,3,2,21,12*,21.00,190.90,-,-,-, Kolkata Knight Riders
696,CR Woakes,2017-2017,13,7,3,46,18,11.50,97.87,-,-,-, Kolkata Knight Riders
697,SA Yadav,2014-2017,54,41,14,608,60,22.51,131.88,-,1,1, Kolkata Knight Riders
698,UT Yadav,2014-2023,67,23,14,124,24*,13.77,131.91,-,-,3, Kolkata Knight Riders
699,Yashpal Singh,2009-2009,8,4,-,47,20,11.75,71.21,-,-,-, Kolkata Knight Riders
700,Arshad Khan,2024-2024,4,4,2,83,58*,41.50,153.70,-,1,1, Lucknow Super Giants
701,Avesh Khan,2022-2023,22,5,4,22,12,22.00,157.14,-,-,-, Lucknow Super Giants
702,A Badoni,2022-2024,42,35,9,634,59*,24.38,134.03,-,4,2, Lucknow Super Giants
703,PVD Chameera,2022-2022,12,8,4,43,17,10.75,153.57,-,-,2, Lucknow Super Giants
704,Q de Kock,2022-2024,30,30,1,901,140*,31.06,143.24,1,7,1, Lucknow Super Giants
705,K Gowtham,2022-2024,12,8,3,61,23,12.20,160.52,-,-,1, Lucknow Super Giants
706,MJ Henry,2024-2024,4,-,-,-,-,0.00,0.00,-,-,-, Lucknow Super Giants
707,JO Holder,2022-2022,12,8,2,58,16,9.66,131.81,-,-,-, Lucknow Super Giants
708,DJ Hooda,2022-2024,38,35,2,680,59,20.60,129.52,-,5,1, Lucknow Super Giants
709,S Joseph,2024-2024,1,-,-,-,-,0.00,0.00,-,-,-, Lucknow Super Giants
710,AA Kulkarni,2024-2024,2,2,-,9,9,4.50,112.50,-,-,1, Lucknow Super Giants
711,E Lewis,2022-2022,6,5,2,73,55*,24.33,130.35,-,1,-, Lucknow Super Giants
712,PN Mankad,2023-2023,5,5,2,93,64*,31.00,129.16,-,1,1, Lucknow Super Giants
713,KR Mayers,2023-2023,13,13,-,379,73,29.15,144.10,-,4,2, Lucknow Super Giants
714,A Mishra,2023-2024,8,1,-,19,19,19.00,63.33,-,-,-, Lucknow Super Giants
715,Mohsin Khan,2022-2024,24,5,2,25,13*,8.33,104.16,-,-,1, Lucknow Super Giants
716,Naveen-ul-Haq,2023-2024,18,6,5,18,13,18.00,72.00,-,-,-, Lucknow Super Giants
717,D Padikkal,2024-2024,7,7,-,38,13,5.42,71.69,-,-,2, Lucknow Super Giants
718,MK Pandey,2022-2022,6,6,-,88,38,14.66,110.00,-,-,-, Lucknow Super Giants
719,KH Pandya,2022-2024,43,39,16,504,49*,21.91,121.44,-,-,4, Lucknow Super Giants
720,N Pooran,2023-2024,29,29,9,857,75,42.85,175.97,-,5,3, Lucknow Super Giants
721,KL Rahul,2022-2024,38,38,4,1410,103*,41.47,130.67,2,10,3, Lucknow Super Giants
722,Ravi Bishnoi,2022-2024,43,11,5,24,5,4.00,70.58,-,-,1, Lucknow Super Giants
723,KS Sharma,2022-2023,3,3,-,16,9,5.33,64.00,-,-,-, Lucknow Super Giants
724,R Shepherd,2023-2023,1,1,-,-,-,0.00,0.00,-,-,1, Lucknow Super Giants
725,M Siddharth,2024-2024,3,-,-,-,-,0.00,0.00,-,-,-, Lucknow Super Giants
726,MP Stoinis,2022-2024,40,39,6,952,124*,28.84,148.51,1,5,4, Lucknow Super Giants
727,Swapnil Singh,2023-2023,2,1,1,2,2*,0.00,50.00,-,-,-, Lucknow Super Giants
728,Yash Thakur,2023-2024,19,-,-,-,-,0.00,0.00,-,-,-, Lucknow Super Giants
729,AJ Turner,2024-2024,2,2,-,21,16,10.50,116.66,-,-,-, Lucknow Super Giants
730,AJ Tye,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-, Lucknow Super Giants
731,JD Unadkat,2023-2023,3,1,-,9,9,9.00,128.57,-,-,-, Lucknow Super Giants
732,M Vohra,2022-2023,3,2,-,29,19,14.50,131.81,-,-,-, Lucknow Super Giants
733,MA Wood,2023-2023,4,2,1,11,10*,11.00,220.00,-,-,-, Lucknow Super Giants
734,MP Yadav,2024-2024,4,-,-,-,-,0.00,0.00,-,-,-, Lucknow Super Giants
735,Yudhvir Singh,2023-2024,5,4,-,22,14,5.50,137.50,-,-,1, Lucknow Super Giants
736,AN Ahmed,2010-2013,10,2,2,22,18*,0.00,110.00,-,-,-, Mumbai Indians
737,FA Allen,2022-2022,1,1,-,8,8,8.00,114.28,-,-,-, Mumbai Indians
738,CJ Anderson,2014-2015,16,15,3,379,95*,31.58,136.33,-,3,-, Mumbai Indians
739,Anmolpreet Singh,2021-2022,3,3,-,29,16,9.66,107.40,-,-,-, Mumbai Indians
740,JC Archer,2023-2023,5,2,2,4,3*,0.00,100.00,-,-,-, Mumbai Indians
741,Arshad Khan,2023-2023,6,3,1,18,15*,9.00,120.00,-,-,-, Mumbai Indians
742,M Ashwin,2022-2022,8,5,2,12,6,4.00,85.71,-,-,1, Mumbai Indians
743,Basil Thampi,2022-2022,5,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
744,JP Behrendorff,2019-2023,17,2,2,6,3*,0.00,66.66,-,-,-, Mumbai Indians
745,STR Binny,2010-2010,1,1,-,8,8,8.00,160.00,-,-,-, Mumbai Indians
746,AC Blizzard,2011-2012,7,7,-,120,51,17.14,133.33,-,1,1, Mumbai Indians
747,TA Boult,2020-2021,29,5,4,1,1*,1.00,20.00,-,-,1, Mumbai Indians
748,DJ Bravo,2008-2010,30,25,4,457,70*,21.76,117.17,-,3,-, Mumbai Indians
749,D Brevis,2022-2024,10,10,-,230,49,23.00,133.72,-,-,1, Mumbai Indians
750,JJ Bumrah,2013-2024,133,30,23,68,16*,9.71,87.17,-,-,5, Mumbai Indians
751,JC Buttler,2016-2017,24,24,3,527,77,25.09,145.98,-,1,1, Mumbai Indians
752,YS Chahal,2013-2013,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
753,RD Chahar,2019-2021,39,10,3,28,10,4.00,93.33,-,-,4, Mumbai Indians
754,UBT Chand,2015-2016,7,6,-,102,58,17.00,117.24,-,1,1, Mumbai Indians
755,PP Chawla,2021-2024,28,11,4,40,18,5.71,102.56,-,-,4, Mumbai Indians
756,SD Chitnis,2008-2008,3,2,-,18,15,9.00,180.00,-,-,-, Mumbai Indians
757,G Coetzee,2024-2024,10,5,1,14,8,3.50,63.63,-,-,1, Mumbai Indians
758,NM Coulter-Nile,2013-2021,13,5,1,38,24*,9.50,146.15,-,-,-, Mumbai Indians
759,BCJ Cutting,2018-2019,12,9,3,114,37,19.00,152.00,-,-,-, Mumbai Indians
760,A Dananjaya,2018-2018,1,1,1,4,4*,0.00,80.00,-,-,-, Mumbai Indians
761,TH David,2022-2024,37,34,12,658,46,29.90,171.35,-,-,3, Mumbai Indians
762,Q de Kock,2019-2021,43,43,4,1329,81,34.07,131.32,-,10,2, Mumbai Indians
763,M de Lange,2014-2015,2,1,-,1,1,1.00,50.00,-,-,-, Mumbai Indians
764,R Dhawan,2013-2013,6,4,1,21,14,7.00,100.00,-,-,1, Mumbai Indians
765,S Dhawan,2009-2010,15,14,-,231,56,16.50,107.44,-,2,1, Mumbai Indians
766,JP Duminy,2009-2018,26,23,8,565,62,37.66,113.91,-,5,1, Mumbai Indians
767,BR Dunk,2014-2014,3,3,-,40,20,13.33,114.28,-,-,-, Mumbai Indians
768,CRD Fernando,2008-2010,10,2,2,4,2*,0.00,133.33,-,-,-, Mumbai Indians
769,AJ Finch,2015-2015,3,3,1,23,10*,11.50,69.69,-,-,-, Mumbai Indians
770,JEC Franklin,2011-2012,20,16,5,327,79,29.72,108.63,-,1,-, Mumbai Indians
771,CM Gautam,2014-2014,9,9,2,121,33,17.28,109.00,-,-,-, Mumbai Indians
772,HH Gibbs,2012-2012,3,3,1,81,66*,40.50,92.04,-,1,-, Mumbai Indians
773,S Gopal,2014-2024,9,3,1,14,11,7.00,51.85,-,-,-, Mumbai Indians
774,R Goyal,2023-2023,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
775,C Green,2023-2023,16,16,7,452,100*,50.22,160.28,1,2,-, Mumbai Indians
776,MJ Guptill,2016-2016,3,3,-,57,48,19.00,103.63,-,-,-, Mumbai Indians
777,Harbhajan Singh,2008-2017,136,84,35,799,64,16.30,142.42,-,1,13, Mumbai Indians
778,MEK Hussey,2014-2014,9,9,-,209,56,23.22,114.83,-,2,-, Mumbai Indians
779,Ishan Kishan,2018-2024,89,84,6,2325,99,29.80,136.84,-,15,7, Mumbai Indians
780,DJ Jacobs,2011-2012,7,7,-,92,32,13.14,93.87,-,-,1, Mumbai Indians
781,D Jansen,2023-2023,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
782,M Jansen,2021-2021,2,2,-,-,-,0.00,0.00,-,-,2, Mumbai Indians
783,ST Jayasuriya,2008-2010,30,30,2,768,114*,27.42,144.36,1,4,2, Mumbai Indians
784,MG Johnson,2013-2017,22,9,5,59,13*,14.75,111.32,-,-,-, Mumbai Indians
785,CJ Jordan,2023-2023,6,2,-,6,4,3.00,50.00,-,-,-, Mumbai Indians
786,AS Joseph,2019-2019,3,2,2,15,15*,0.00,115.38,-,-,-, Mumbai Indians
787,A Kamboj,2024-2024,3,1,1,2,2*,0.00,100.00,-,-,-, Mumbai Indians
788,KD Karthik,2012-2013,36,33,2,748,86,24.12,119.87,-,2,3, Mumbai Indians
789,K Kartikeya,2022-2023,12,2,-,9,6,4.50,75.00,-,-,-, Mumbai Indians
790,Z Khan,2009-2014,26,12,9,40,23*,13.33,129.03,-,-,1, Mumbai Indians
791,MA Khote,2008-2008,4,3,1,24,9,12.00,109.09,-,-,-, Mumbai Indians
792,DS Kulkarni,2008-2021,35,10,7,26,10*,8.66,59.09,-,-,-, Mumbai Indians
793,P Kumar,2014-2014,3,1,-,1,1,1.00,50.00,-,-,-, Mumbai Indians
794,SD Lad,2019-2019,1,1,-,15,15,15.00,115.38,-,-,-, Mumbai Indians
795,RE Levi,2012-2012,6,6,-,83,50,13.83,113.69,-,1,2, Mumbai Indians
796,E Lewis,2018-2019,16,16,-,430,65,26.87,131.09,-,2,2, Mumbai Indians
797,CA Lynn,2021-2021,1,1,-,49,49,49.00,140.00,-,-,-, Mumbai Indians
798,MJ McClenaghan,2015-2019,56,24,11,85,20,6.53,121.42,-,-,6, Mumbai Indians
799,CJ McKay,2012-2012,2,1,-,8,8,8.00,53.33,-,-,-, Mumbai Indians
800,R McLaren,2010-2010,10,7,4,66,40,22.00,95.65,-,-,1, Mumbai Indians
801,C Madan,2010-2010,1,1,-,15,15,15.00,78.94,-,-,-, Mumbai Indians
802,SL Malinga,2009-2019,122,25,9,88,17,5.50,88.88,-,-,6, Mumbai Indians
803,A Madhwal,2023-2024,13,1,1,4,4*,0.00,80.00,-,-,-, Mumbai Indians
804,KT Maphaka,2024-2024,2,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
805,M Markande,2018-2022,19,8,5,27,7*,9.00,93.10,-,-,-, Mumbai Indians
806,GJ Maxwell,2013-2013,3,3,1,36,23,18.00,133.33,-,-,1, Mumbai Indians
807,RP Meredith,2022-2023,13,2,2,-,0*,0.00,0.00,-,-,-, Mumbai Indians
808,TS Mills,2022-2022,5,2,1,-,0*,0.00,0.00,-,-,1, Mumbai Indians
809,AF Milne,2021-2021,4,3,1,16,15,8.00,94.11,-,-,1, Mumbai Indians
810,Mohammad Ashraful,2009-2009,1,1,-,2,2,2.00,20.00,-,-,-, Mumbai Indians
811,Mohammad Nabi,2024-2024,7,5,1,35,23,8.75,112.90,-,-,1, Mumbai Indians
812,SZ Mulani,2024-2024,2,1,1,1,1*,0.00,100.00,-,-,-, Mumbai Indians
813,AG Murtaza,2010-2011,8,1,1,2,2*,0.00,40.00,-,-,-, Mumbai Indians
814,Mustafizur Rahman,2018-2018,7,2,1,1,1,1.00,33.33,-,-,-, Mumbai Indians
815,Naman Dhir,2024-2024,7,7,1,140,62*,23.33,177.21,-,1,2, Mumbai Indians
816,C Nanda,2009-2009,3,1,-,-,-,0.00,0.00,-,-,1, Mumbai Indians
817,GR Napier,2009-2009,1,1,-,15,15,15.00,93.75,-,-,-, Mumbai Indians
818,AM Nayar,2008-2010,30,24,5,457,45*,24.05,134.01,-,-,-, Mumbai Indians
819,JDS Neesham,2021-2021,3,2,-,-,-,0.00,0.00,-,-,2, Mumbai Indians
820,A Nehra,2008-2008,14,4,3,3,2*,3.00,23.07,-,-,1, Mumbai Indians
821,A Nel,2008-2008,1,1,-,-,-,0.00,0.00,-,-,1, Mumbai Indians
822,PP Ojha,2012-2015,38,9,5,10,3,2.50,38.46,-,-,1, Mumbai Indians
823,JDP Oram,2013-2013,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
824,MK Pandey,2008-2008,3,2,-,3,3,1.50,33.33,-,-,1, Mumbai Indians
825,HH Pandya,2015-2024,106,98,32,1692,91,25.63,152.43,-,4,6, Mumbai Indians
826,KH Pandya,2016-2021,84,72,22,1143,86,22.86,138.54,-,1,2, Mumbai Indians
827,MM Patel,2011-2013,31,5,4,2,1*,2.00,25.00,-,-,1, Mumbai Indians
828,PA Patel,2015-2017,40,40,1,911,81,23.35,131.83,-,5,5, Mumbai Indians
829,JL Pattinson,2020-2020,10,2,1,15,11,15.00,115.38,-,-,-, Mumbai Indians
830,RV Pawar,2008-2008,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
831,NLTC Perera,2012-2012,2,2,1,4,4*,4.00,44.44,-,-,1, Mumbai Indians
832,RJ Peterson,2012-2012,5,5,2,32,16*,10.66,106.66,-,-,1, Mumbai Indians
833,KA Pollard,2010-2022,189,171,52,3412,87*,28.67,147.32,-,16,5, Mumbai Indians
834,SM Pollock,2008-2008,13,8,-,147,33,18.37,132.43,-,-,2, Mumbai Indians
835,RT Ponting,2013-2013,6,5,-,52,28,10.40,69.33,-,-,1, Mumbai Indians
836,RW Price,2011-2011,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
837,AM Rahane,2008-2009,10,9,1,148,62*,18.50,105.71,-,2,2, Mumbai Indians
838,RR Raje,2008-2009,10,5,4,20,11*,20.00,111.11,-,-,-, Mumbai Indians
