,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
78,R Ravindra,2024-2024,10,2,12,-,7,-,-,0.00,3.50,-,-,-,8,-, Chennai Super Kings
79,AT Rayudu,2018-2023,90,-,0,-,-,-,-,0.00,-,-,-,-,19,-, Chennai Super Kings
80,WP Saha,2011-2013,14,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Chennai Super Kings
81,Sameer Rizvi,2024-2024,8,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Chennai Super Kings
82,MJ Santner,2019-2024,18,18,366,-,422,15,2/13,28.13,6.91,24.4,-,-,6,-, Chennai Super Kings
83,V Shankar,2014-2014,1,1,6,-,19,-,-,0.00,19.00,-,-,-,-,-, Chennai Super Kings
84,KV Sharma,2018-2020,12,11,188,-,287,10,2/13,28.70,9.15,18.8,-,-,3,-, Chennai Super Kings
85,MM Sharma,2013-2019,48,48,987,-,1286,58,4/14,22.17,7.81,17.0,-,-,10,-, Chennai Super Kings
86,DR Shorey,2018-2019,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Chennai Super Kings
87,Simarjeet Singh,2022-2024,10,10,180,-,259,9,3/26,28.77,8.63,20.0,-,-,3,-, Chennai Super Kings
88,DR Smith,2014-2015,32,6,72,-,112,5,1/11,22.40,9.33,14.4,-,-,14,-, Chennai Super Kings
89,PH Solanki,2022-2022,2,2,36,-,38,2,2/20,19.00,6.33,18.0,-,-,-,-, Chennai Super Kings
90,TG Southee,2011-2011,5,5,114,-,166,4,1/30,41.50,8.73,28.5,-,-,-,-, Chennai Super Kings
91,BA Stokes,2023-2023,2,1,6,-,18,-,-,0.00,18.00,-,-,-,2,-, Chennai Super Kings
92,SB Styris,2011-2011,2,1,6,-,13,-,-,0.00,13.00,-,-,-,1,-, Chennai Super Kings
93,SN Thakur,2018-2024,57,56,1203,2,1823,60,3/28,30.38,9.09,20.0,-,-,17,-, Chennai Super Kings
94,M Theekshana,2022-2024,27,27,624,1,797,25,4/33,31.88,7.66,24.9,-,-,4,-, Chennai Super Kings
95,T Thushara,2009-2010,6,6,135,-,161,8,2/16,20.12,7.15,16.8,-,-,3,-, Chennai Super Kings
96,S Tyagi,2009-2010,14,14,209,-,295,6,2/18,49.16,8.46,34.8,-,-,3,-, Chennai Super Kings
97,RV Uthappa,2021-2022,16,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Chennai Super Kings
98,S Vidyut,2008-2008,9,1,12,-,22,1,1/22,22.00,11.00,12.0,-,-,1,-, Chennai Super Kings
99,M Vijay,2009-2020,70,-,0,-,-,-,-,0.00,-,-,-,-,33,-, Chennai Super Kings
100,SR Watson,2018-2020,43,11,168,-,251,6,2/29,41.83,8.96,28.0,-,-,11,-, Chennai Super Kings
101,DJ Willey,2018-2018,3,3,60,-,95,2,1/24,47.50,9.50,30.0,-,-,2,-, Chennai Super Kings
102,MA Wood,2018-2018,1,1,24,-,49,-,-,0.00,12.25,-,-,-,1,-, Chennai Super Kings
103,Anand Rajan,2011-2012,6,6,101,-,159,6,3/27,26.50,9.44,16.8,-,-,2,-, Deccan Chargers
104,Anirudh Singh,2010-2010,5,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Deccan Chargers
105,Ankit Sharma,2012-2012,9,9,145,-,165,4,1/9,41.25,6.82,36.2,-,-,-,-, Deccan Chargers
106,A Ashish Reddy,2012-2012,9,9,163,-,237,11,3/25,21.54,8.72,14.8,-,-,-,-, Deccan Chargers
107,SB Bangar,2008-2008,11,9,150,-,219,4,2/34,54.75,8.76,37.5,-,-,2,-, Deccan Chargers
108,AA Bilakhia,2009-2010,7,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Deccan Chargers
109,B Chipli,2011-2012,19,1,6,-,20,-,-,0.00,20.00,-,-,-,2,-, Deccan Chargers
110,DT Christian,2011-2012,21,21,436,-,583,19,2/13,30.68,8.02,22.9,-,-,13,-, Deccan Chargers
111,H Das,2008-2008,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Deccan Chargers
112,KH Devdhar,2011-2011,1,-,0,-,-,-,-,0.00,-,-,-,-,-,1, Deccan Chargers
113,S Dhawan,2011-2012,29,6,48,-,66,4,1/7,16.50,8.25,12.0,-,-,11,-, Deccan Chargers
114,JP Duminy,2011-2012,19,14,180,-,247,5,1/3,49.40,8.23,36.0,-,-,8,-, Deccan Chargers
115,FH Edwards,2009-2009,6,6,140,1,154,5,2/27,30.80,6.60,28.0,-,-,-,-, Deccan Chargers
116,HH Gibbs,2008-2010,33,-,0,-,-,-,-,0.00,-,-,-,-,22,-, Deccan Chargers
117,AC Gilchrist,2008-2010,46,-,0,-,-,-,-,0.00,-,-,-,-,25,13, Deccan Chargers
118,MS Gony,2011-2012,9,9,198,-,292,7,3/31,41.71,8.84,28.2,-,-,1,-, Deccan Chargers
119,Harmeet Singh,2009-2011,17,17,323,-,419,14,2/23,29.92,7.78,23.0,-,-,3,-, Deccan Chargers
120,DJ Harris,2012-2012,4,2,18,-,26,-,-,0.00,8.66,-,-,-,2,-, Deccan Chargers
121,RJ Harris,2009-2010,16,16,370,2,463,20,3/18,23.15,7.50,18.5,-,-,10,-, Deccan Chargers
122,IR Jaggi,2011-2012,5,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Deccan Chargers
123,Jaskaran Singh,2009-2010,8,7,102,-,171,6,2/18,28.50,10.05,17.0,-,-,-,-, Deccan Chargers
124,AA Jhunjhunwala,2012-2012,5,3,36,-,38,1,1/13,38.00,6.33,36.0,-,-,2,-, Deccan Chargers
125,D Kalyankrishna,2008-2008,3,3,48,-,87,2,1/30,43.50,10.87,24.0,-,-,1,-, Deccan Chargers
126,VVS Laxman,2008-2010,17,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Deccan Chargers
127,MJ Lumb,2011-2011,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Deccan Chargers
128,CA Lynn,2012-2012,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Deccan Chargers
129,I Malhotra,2011-2011,1,1,6,-,23,-,-,0.00,23.00,-,-,-,-,-, Deccan Chargers
130,MR Marsh,2010-2010,3,3,60,-,88,2,1/19,44.00,8.80,30.0,-,-,-,-, Deccan Chargers
131,A Mishra,2011-2012,28,28,602,2,735,32,4/9,22.96,7.32,18.8,-,-,3,-, Deccan Chargers
132,MD Mishra,2010-2010,11,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Deccan Chargers
133,T Mishra,2012-2012,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Deccan Chargers
134,PP Ojha,2008-2011,54,53,1117,-,1328,60,3/21,22.13,7.13,18.6,-,-,11,-, Deccan Chargers
135,PA Patel,2012-2012,14,-,0,-,-,-,-,0.00,-,-,-,-,5,1, Deccan Chargers
136,V Pratap Singh,2012-2012,9,9,204,-,296,10,2/31,29.60,8.70,20.4,-,-,-,-, Deccan Chargers
137,DB Ravi Teja,2008-2012,30,2,18,-,28,1,1/19,28.00,9.33,18.0,-,-,11,-, Deccan Chargers
138,PA Reddy,2012-2012,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Deccan Chargers
139,KAJ Roach,2010-2010,2,2,48,-,80,-,-,0.00,10.00,-,-,-,1,-, Deccan Chargers
140,BB Samantray,2012-2012,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Deccan Chargers
141,KC Sangakkara,2011-2012,25,-,0,-,-,-,-,0.00,-,-,-,-,26,2, Deccan Chargers
142,PM Sarvesh Kumar,2008-2008,2,2,30,-,42,1,1/18,42.00,8.40,30.0,-,-,-,-, Deccan Chargers
143,Shahid Afridi,2008-2008,10,10,180,-,225,9,3/28,25.00,7.50,20.0,-,-,4,-, Deccan Chargers
144,I Sharma,2011-2011,12,12,264,-,314,11,5/12,28.54,7.13,24.0,1,-,3,-, Deccan Chargers
145,R Sharma,2010-2010,6,6,124,-,167,5,2/42,33.40,8.08,24.8,-,-,1,-, Deccan Chargers
146,RG Sharma,2008-2010,45,22,276,-,339,14,4/6,24.21,7.36,19.7,-,-,22,-, Deccan Chargers
147,Shoaib Ahmed,2009-2009,8,7,102,-,152,5,2/20,30.40,8.94,20.4,-,-,4,-, Deccan Chargers
148,LPC Silva,2008-2008,3,1,6,-,21,-,-,0.00,21.00,-,-,-,3,-, Deccan Chargers
149,RP Singh,2008-2010,42,42,918,2,1229,51,4/22,24.09,8.03,18.0,-,-,16,-, Deccan Chargers
150,DR Smith,2009-2010,11,10,107,-,160,2,1/22,80.00,8.97,53.5,-,-,6,-, Deccan Chargers
151,S Sohal,2011-2011,11,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Deccan Chargers
152,DW Steyn,2011-2012,24,24,553,3,584,32,3/8,18.25,6.33,17.2,-,-,5,-, Deccan Chargers
153,SB Styris,2008-2009,10,10,210,-,263,8,3/32,32.87,7.51,26.2,-,-,1,-, Deccan Chargers
154,TP Sudhindra,2012-2012,3,3,70,-,136,1,1/46,136.00,11.65,70.0,-,-,-,-, Deccan Chargers
155,TL Suman,2009-2010,26,7,102,-,132,5,2/14,26.40,7.76,20.4,-,-,5,-, Deccan Chargers
156,B Sumanth,2010-2010,5,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Deccan Chargers
157,A Symonds,2008-2010,28,27,503,-,633,19,3/21,33.31,7.55,26.4,-,-,16,-, Deccan Chargers
158,J Theron,2012-2012,2,2,48,-,66,2,2/37,33.00,8.25,24.0,-,-,-,-, Deccan Chargers
159,WPUJC Vaas,2008-2010,13,13,282,2,355,18,3/21,19.72,7.55,15.6,-,-,-,-, Deccan Chargers
160,Y Venugopal Rao,2008-2010,33,14,180,-,269,6,2/23,44.83,8.96,30.0,-,-,7,-, Deccan Chargers
161,DP Vijaykumar,2008-2008,9,9,152,-,199,4,1/17,49.75,7.85,38.0,-,-,-,-, Deccan Chargers
162,CL White,2011-2012,19,2,18,-,27,-,-,0.00,9.00,-,-,-,5,-, Deccan Chargers
163,AS Yadav,2008-2008,8,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Deccan Chargers
164,DNT Zoysa,2008-2008,3,3,66,-,99,2,1/30,49.50,9.00,33.0,-,-,1,-, Deccan Chargers
165,S Ladda,2010-2010,5,5,90,-,143,4,2/44,35.75,9.53,22.5,-,-,-,-, Delhi Capitals
166,AR Bawne,2017-2017,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
167,VR Aaron,2011-2012,12,11,258,-,353,10,2/19,35.30,8.20,25.8,-,-,1,-, Delhi Capitals
168,Abhishek Sharma,2018-2018,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Delhi Capitals
169,Abishek Porel,2023-2024,18,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Delhi Capitals
170,AB Agarkar,2011-2013,15,15,308,-,457,11,2/23,41.54,8.90,28.0,-,-,3,-, Delhi Capitals
171,MA Agarwal,2014-2016,21,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Delhi Capitals
172,KK Ahmed,2022-2024,33,33,733,4,1095,42,3/25,26.07,8.96,17.4,-,-,3,-, Delhi Capitals
173,Aman Hakim Khan,2023-2023,11,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Delhi Capitals
174,CJ Anderson,2017-2017,11,8,113,-,186,3,1/23,62.00,9.87,37.6,-,-,5,-, Delhi Capitals
175,R Ashwin,2020-2021,28,28,574,-,722,20,3/29,36.10,7.54,28.7,-,-,5,-, Delhi Capitals
176,Avesh Khan,2018-2021,24,24,522,-,726,28,3/13,25.92,8.34,18.6,-,-,5,-, Delhi Capitals
177,KS Bharat,2022-2022,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
178,R Bhatia,2008-2010,22,21,358,-,461,19,4/15,24.26,7.72,18.8,-,-,6,-, Delhi Capitals
179,RK Bhui,2024-2024,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
180,SW Billings,2016-2017,11,-,0,-,-,-,-,0.00,-,-,-,-,7,-, Delhi Capitals
181,TR Birt,2011-2011,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
182,J Botha,2013-2013,6,6,100,-,109,5,2/11,21.80,6.54,20.0,-,-,5,-, Delhi Capitals
183,TA Boult,2018-2019,19,19,430,1,629,23,2/20,27.34,8.77,18.6,-,-,11,-, Delhi Capitals
