,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
469,Mohammed Shami,2019-2021,42,42,962,1,1324,58,3/15,22.82,8.25,16.5,-,-,8,-, Punjab Kings
470,Mohit Rathee,2023-2023,1,1,12,-,29,-,-,0.00,14.50,-,-,-,-,-, Punjab Kings
471,EJG Morgan,2017-2017,4,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Punjab Kings
472,WA Mota,2008-2009,12,7,72,-,97,4,1/6,24.25,8.08,18.0,-,-,5,-, Punjab Kings
473,Mujeeb Ur Rahman,2018-2020,18,18,410,-,563,17,3/27,33.11,8.23,24.1,-,-,2,-, Punjab Kings
474,NS Naik,2016-2016,2,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
475,KK Nair,2018-2020,18,-,0,-,-,-,-,0.00,-,-,-,-,10,-, Punjab Kings
476,T Natarajan,2017-2017,6,6,76,-,115,2,1/26,57.50,9.07,38.0,-,-,-,-, Punjab Kings
477,AM Nayar,2011-2012,14,7,67,-,111,2,1/22,55.50,9.94,33.5,-,-,2,-, Punjab Kings
478,JDS Neesham,2020-2020,5,5,90,-,148,2,1/17,74.00,9.86,45.0,-,-,1,-, Punjab Kings
479,MG Neser,2013-2013,1,1,24,-,62,-,-,0.00,15.50,-,-,-,-,-, Punjab Kings
480,AR Patel,2014-2018,68,67,1407,2,1765,61,4/21,28.93,7.52,23.0,-,-,25,-, Punjab Kings
481,HV Patel,2024-2024,14,14,294,-,477,24,3/15,19.87,9.73,12.2,-,-,5,-, Punjab Kings
482,IK Pathan,2008-2010,42,42,898,3,1166,47,3/24,24.80,7.79,19.1,-,-,12,-, Punjab Kings
483,NLTC Perera,2015-2015,2,2,36,-,55,1,1/33,55.00,9.16,36.0,-,-,-,-, Punjab Kings
484,LA Pomersbach,2008-2013,12,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
485,N Pooran,2019-2021,33,-,0,-,-,-,-,0.00,-,-,-,-,11,-, Punjab Kings
486,IC Porel,2021-2021,1,1,24,-,39,1,1/39,39.00,9.75,24.0,-,-,-,-, Punjab Kings
487,RR Powar,2008-2012,22,21,354,-,415,11,2/11,37.72,7.03,32.1,-,-,5,-, Punjab Kings
488,Prabhsimran Singh,2019-2024,34,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Punjab Kings
489,CA Pujara,2014-2014,6,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Punjab Kings
490,K Rabada,2022-2024,30,30,678,-,1010,41,4/33,24.63,8.93,16.5,-,-,7,-, Punjab Kings
491,KL Rahul,2018-2021,55,-,0,-,-,-,-,0.00,-,-,-,-,38,1, Punjab Kings
492,PBB Rajapaksa,2022-2023,13,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Punjab Kings
493,AS Rajpoot,2018-2019,12,12,253,1,375,14,5/14,26.78,8.89,18.0,1,-,3,-, Punjab Kings
494,AU Rashid,2021-2021,1,1,18,-,35,-,-,0.00,11.66,-,-,-,-,-, Punjab Kings
495,Ravi Bishnoi,2020-2021,23,23,522,1,606,24,3/24,25.25,6.96,21.7,-,-,4,-, Punjab Kings
496,JA Richardson,2021-2021,3,3,66,-,117,3,2/41,39.00,10.63,22.0,-,-,1,-, Punjab Kings
497,NJ Rimmington,2011-2011,1,1,18,-,19,-,-,0.00,6.33,-,-,-,-,-, Punjab Kings
498,RR Rossouw,2024-2024,8,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Punjab Kings
499,WP Saha,2014-2017,57,-,0,-,-,-,-,0.00,-,-,-,-,36,12, Punjab Kings
500,P Sahu,2016-2016,5,5,105,-,146,3,2/18,48.66,8.34,35.0,-,-,-,-, Punjab Kings
501,N Saini,2012-2012,10,-,0,-,-,-,-,0.00,-,-,-,-,11,2, Punjab Kings
502,Sandeep Sharma,2013-2022,61,61,1345,8,1740,73,4/20,23.83,7.76,18.4,-,-,10,-, Punjab Kings
503,KC Sangakkara,2008-2010,37,-,0,-,-,-,-,0.00,-,-,-,-,16,7, Punjab Kings
504,RR Sarwan,2008-2008,4,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
505,R Sathish,2013-2013,9,3,24,-,51,-,-,0.00,12.75,-,-,-,-,-, Punjab Kings
506,Jalaj S Saxena,2021-2021,1,1,18,-,27,-,-,0.00,9.00,-,-,-,-,-, Punjab Kings
507,V Sehwag,2014-2015,25,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Punjab Kings
508,M Shahrukh Khan,2021-2023,33,-,0,-,-,-,-,0.00,-,-,-,-,14,-, Punjab Kings
509,AR Sharma,2024-2024,11,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
510,I Sharma,2017-2017,6,6,108,-,179,-,-,0.00,9.94,-,-,-,-,-, Punjab Kings
511,JM Sharma,2022-2024,40,-,0,-,-,-,-,0.00,-,-,-,-,25,4, Punjab Kings
512,MM Sharma,2016-2018,37,37,743,-,1139,33,3/23,34.51,9.19,22.5,-,-,8,-, Punjab Kings
513,Shashank Singh,2024-2024,14,1,6,-,5,1,1/5,5.00,5.00,6.0,-,-,7,-, Punjab Kings
514,Shivam Sharma,2014-2015,5,5,114,-,165,4,2/26,41.25,8.68,28.5,-,-,1,-, Punjab Kings
515,Shivam Singh,2024-2024,1,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
516,MW Short,2023-2023,6,3,24,-,25,-,-,0.00,6.25,-,-,-,3,-, Punjab Kings
517,Sikandar Raza,2023-2024,9,7,84,-,141,3,1/19,47.00,10.07,28.0,-,-,5,-, Punjab Kings
518,VRV Singh,2008-2010,19,18,360,-,542,12,3/29,45.16,9.03,30.0,-,-,3,-, Punjab Kings
519,OF Smith,2022-2022,6,6,90,-,178,6,4/30,29.66,11.86,15.0,-,-,2,-, Punjab Kings
520,RS Sodhi,2010-2010,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
521,S Sohal,2008-2010,11,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
522,BB Sran,2018-2018,6,6,132,-,229,4,2/50,57.25,10.40,33.0,-,-,2,-, Punjab Kings
523,S Sreesanth,2008-2010,28,28,559,-,821,28,3/29,29.32,8.81,19.9,-,-,2,-, Punjab Kings
524,SJ Srivastava,2010-2011,14,14,282,-,441,14,2/20,31.50,9.38,20.1,-,-,3,-, Punjab Kings
525,TM Srivastava,2008-2009,7,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Punjab Kings
526,MP Stoinis,2016-2018,19,18,267,-,424,13,4/15,32.61,9.52,20.5,-,-,5,-, Punjab Kings
527,Sunny Singh,2011-2011,6,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Punjab Kings
528,Swapnil Singh,2016-2017,5,5,60,-,90,1,1/14,90.00,9.00,60.0,-,-,1,-, Punjab Kings
529,A Taide,2023-2024,9,1,1,-,4,-,-,0.00,24.00,-,-,-,5,-, Punjab Kings
530,R Tewatia,2017-2017,3,3,54,-,49,3,2/18,16.33,5.44,18.0,-,-,-,-, Punjab Kings
531,SN Thakur,2015-2015,1,1,18,-,38,1,1/38,38.00,12.66,18.0,-,-,-,-, Punjab Kings
532,J Theron,2010-2010,7,7,144,-,187,6,2/17,31.16,7.79,24.0,-,-,1,-, Punjab Kings
533,MK Tiwary,2018-2018,5,1,6,-,10,-,-,0.00,10.00,-,-,-,4,-, Punjab Kings
534,AJ Tye,2018-2019,20,20,468,-,681,27,4/16,25.22,8.73,17.3,-,-,7,-, Punjab Kings
535,PC Valthaty,2011-2013,21,10,151,-,205,7,4/29,29.28,8.14,21.5,-,-,3,-, Punjab Kings
536,CV Varun,2019-2019,1,1,18,-,35,1,1/35,35.00,11.66,18.0,-,-,-,-, Punjab Kings
537,M Vijay,2015-2016,25,3,30,-,36,-,-,0.00,7.20,-,-,-,6,-, Punjab Kings
538,GC Viljoen,2019-2019,6,6,138,-,222,7,2/39,31.71,9.65,19.7,-,-,-,-, Punjab Kings
539,M Vohra,2013-2017,45,-,0,-,-,-,-,0.00,-,-,-,-,13,-, Punjab Kings
540,Yuvraj Singh,2008-2018,51,27,324,-,400,14,3/13,28.57,7.40,23.1,-,-,15,-, Punjab Kings
541,B Akhil,2011-2011,1,1,12,-,22,-,-,0.00,11.00,-,-,-,-,-, Kochi Tuskers Kerala
542,Y Gnaneswara Rao,2011-2011,2,1,6,-,7,-,-,0.00,7.00,-,-,-,2,-, Kochi Tuskers Kerala
543,RV Gomez,2011-2011,11,8,90,1,124,5,2/14,24.80,8.26,18.0,-,-,1,-, Kochi Tuskers Kerala
544,BJ Hodge,2011-2011,14,4,66,-,77,7,4/13,11.00,7.00,9.4,-,-,1,-, Kochi Tuskers Kerala
545,RA Jadeja,2011-2011,14,14,252,-,305,8,2/25,38.12,7.26,31.5,-,-,1,-, Kochi Tuskers Kerala
546,KM Jadhav,2011-2011,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kochi Tuskers Kerala
547,DPMD Jayawardene,2011-2011,13,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Kochi Tuskers Kerala
548,M Klinger,2011-2011,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kochi Tuskers Kerala
549,VVS Laxman,2011-2011,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kochi Tuskers Kerala
550,BB McCullum,2011-2011,13,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kochi Tuskers Kerala
551,M Muralidaran,2011-2011,5,5,114,-,141,2,1/18,70.50,7.42,57.0,-,-,1,-, Kochi Tuskers Kerala
552,P Parameswaran,2011-2011,5,5,94,-,137,4,2/20,34.25,8.74,23.5,-,-,-,-, Kochi Tuskers Kerala
553,PA Patel,2011-2011,14,-,0,-,-,-,-,0.00,-,-,-,-,8,1, Kochi Tuskers Kerala
554,NLTC Perera,2011-2011,4,4,84,-,111,2,1/30,55.50,7.92,42.0,-,-,-,-, Kochi Tuskers Kerala
555,RR Powar,2011-2011,5,5,72,-,112,2,1/20,56.00,9.33,36.0,-,-,-,-, Kochi Tuskers Kerala
556,P Prasanth,2011-2011,1,1,6,-,18,-,-,0.00,18.00,-,-,-,-,-, Kochi Tuskers Kerala
557,OA Shah,2011-2011,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kochi Tuskers Kerala
558,RP Singh,2011-2011,14,14,300,-,345,13,4/25,26.53,6.90,23.0,-,-,6,-, Kochi Tuskers Kerala
559,S Sreesanth,2011-2011,9,9,191,2,206,7,2/10,29.42,6.47,27.2,-,-,1,-, Kochi Tuskers Kerala
560,R Vinay Kumar,2011-2011,13,13,268,-,335,12,3/25,27.91,7.50,22.3,-,-,4,-, Kochi Tuskers Kerala
561,S Ladda,2011-2013,3,3,36,-,60,1,1/18,60.00,10.00,36.0,-,-,1,-, Kolkata Knight Riders
562,AB Agarkar,2008-2010,27,27,474,-,694,18,3/25,38.55,8.78,26.3,-,-,2,-, Kolkata Knight Riders
563,Aman Hakim Khan,2022-2022,1,1,6,-,13,-,-,0.00,13.00,-,-,-,-,-, Kolkata Knight Riders
564,Anureet Singh,2009-2009,3,2,30,-,47,2,2/35,23.50,9.40,15.0,-,-,-,-, Kolkata Knight Riders
565,VG Arora,2023-2024,15,15,276,-,422,16,3/27,26.37,9.17,17.2,-,-,4,-, Kolkata Knight Riders
566,Azhar Mahmood,2015-2015,1,1,18,-,41,-,-,0.00,13.66,-,-,-,-,-, Kolkata Knight Riders
567,L Balaji,2011-2013,35,35,747,2,920,33,4/18,27.87,7.38,22.6,-,-,6,-, Kolkata Knight Riders
568,SB Bangar,2009-2009,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
569,T Banton,2020-2020,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
570,R Bhatia,2011-2013,46,43,774,-,931,32,3/22,29.09,7.21,24.1,-,-,10,-, Kolkata Knight Riders
571,SW Billings,2022-2022,8,-,0,-,-,-,-,0.00,-,-,-,-,6,1, Kolkata Knight Riders
572,MS Bisla,2011-2014,27,-,0,-,-,-,-,0.00,-,-,-,-,15,7, Kolkata Knight Riders
573,SE Bond,2010-2010,8,8,186,1,224,9,2/24,24.88,7.22,20.6,-,-,1,-, Kolkata Knight Riders
574,J Botha,2015-2015,4,4,60,-,81,1,1/32,81.00,8.10,60.0,-,-,4,-, Kolkata Knight Riders
575,MV Boucher,2011-2011,4,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Kolkata Knight Riders
576,TA Boult,2017-2017,6,6,143,-,216,5,2/30,43.20,9.06,28.6,-,-,-,-, Kolkata Knight Riders
577,CR Brathwaite,2019-2019,2,2,18,-,29,-,-,0.00,9.66,-,-,-,-,-, Kolkata Knight Riders
578,DM Bravo,2017-2017,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
579,KC Cariappa,2015-2019,2,2,24,-,62,1,1/28,62.00,15.50,24.0,-,-,-,-, Kolkata Knight Riders
580,PVD Chameera,2024-2024,1,1,18,-,48,-,-,0.00,16.00,-,-,-,-,-, Kolkata Knight Riders
581,PP Chawla,2014-2019,70,69,1340,-,1835,66,4/32,27.80,8.21,20.3,-,-,18,-, Kolkata Knight Riders
582,A Chopra,2008-2009,7,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kolkata Knight Riders
583,NM Coulter-Nile,2017-2017,8,8,170,-,228,15,3/20,15.20,8.04,11.3,-,-,2,-, Kolkata Knight Riders
584,PJ Cummins,2014-2022,30,30,676,1,984,30,4/34,32.80,8.73,22.5,-,-,7,-, Kolkata Knight Riders
585,TK Curran,2018-2018,5,5,61,-,118,6,2/19,19.66,11.60,10.1,-,-,1,-, Kolkata Knight Riders
586,DB Das,2008-2013,31,-,0,-,-,-,-,0.00,-,-,-,-,7,-, Kolkata Knight Riders
587,C de Grandhomme,2017-2017,12,9,96,-,135,4,3/4,33.75,8.43,24.0,-,-,2,-, Kolkata Knight Riders
588,M de Lange,2012-2012,3,3,60,-,107,3,3/34,35.66,10.70,20.0,-,-,-,-, Kolkata Knight Riders
589,JL Denly,2019-2019,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
590,AB Dinda,2008-2010,29,27,517,-,605,22,3/33,27.50,7.02,23.5,-,-,2,-, Kolkata Knight Riders
591,P Dogra,2013-2013,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Kolkata Knight Riders
592,LH Ferguson,2019-2023,21,21,447,-,651,22,3/15,29.59,8.73,20.3,-,-,3,-, Kolkata Knight Riders
593,AJ Finch,2022-2022,5,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Kolkata Knight Riders
594,G Gambhir,2011-2017,108,-,0,-,-,-,-,0.00,-,-,-,-,20,-, Kolkata Knight Riders
595,SC Ganguly,2008-2010,40,16,216,-,268,8,2/21,33.50,7.44,27.0,-,-,15,-, Kolkata Knight Riders
596,RS Gavaskar,2010-2010,2,1,6,-,8,-,-,0.00,8.00,-,-,-,-,-, Kolkata Knight Riders
597,CH Gayle,2009-2010,16,13,209,-,296,5,1/9,59.20,8.49,41.8,-,-,7,-, Kolkata Knight Riders
598,AN Ghosh,2009-2009,2,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Kolkata Knight Riders
599,SP Goswami,2011-2011,5,-,0,-,-,-,-,0.00,-,-,-,-,4,1, Kolkata Knight Riders
600,CJ Green,2020-2020,1,1,17,-,24,-,-,0.00,8.47,-,-,-,-,-, Kolkata Knight Riders
601,HF Gurney,2019-2019,8,8,162,-,238,7,2/25,34.00,8.81,23.1,-,-,-,-, Kolkata Knight Riders
602,BJ Haddin,2011-2011,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
603,Harbhajan Singh,2021-2021,3,3,42,-,63,-,-,0.00,9.00,-,-,-,1,-, Kolkata Knight Riders
604,Harpreet Singh,2010-2010,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
605,Harshit Rana,2022-2024,21,19,385,1,581,25,3/24,23.24,9.05,15.4,-,-,6,-, Kolkata Knight Riders
606,JW Hastings,2016-2016,2,2,40,1,37,2,2/6,18.50,5.55,20.0,-,-,-,-, Kolkata Knight Riders
607,MC Henriques,2009-2009,4,4,73,-,107,2,1/32,53.50,8.79,36.5,-,-,3,-, Kolkata Knight Riders
608,BJ Hodge,2008-2010,19,13,150,-,202,9,3/29,22.44,8.08,16.6,-,-,6,-, Kolkata Knight Riders
609,GB Hogg,2015-2016,11,11,222,1,286,13,4/29,22.00,7.72,17.0,-,-,3,-, Kolkata Knight Riders
610,JO Holder,2016-2016,4,4,78,-,103,2,2/33,51.50,7.92,39.0,-,-,-,-, Kolkata Knight Riders
611,DJ Hussey,2008-2010,23,13,162,-,244,2,1/23,122.00,9.03,81.0,-,-,10,-, Kolkata Knight Riders
612,B Indrajith,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Kolkata Knight Riders
613,Iqbal Abdulla,2008-2013,33,32,614,-,674,28,3/24,24.07,6.58,21.9,-,-,8,-, Kolkata Knight Riders
614,SS Iyer,2022-2024,29,1,6,-,7,-,-,0.00,7.00,-,-,-,15,-, Kolkata Knight Riders
615,VR Iyer,2021-2024,51,9,81,-,143,3,2/29,47.66,10.59,27.0,-,-,18,-, Kolkata Knight Riders
616,SP Jackson,2017-2022,9,-,0,-,-,-,-,0.00,-,-,-,-,7,2, Kolkata Knight Riders
617,N Jagadeesan,2023-2023,6,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Kolkata Knight Riders
618,IR Jaggi,2017-2017,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
619,MG Johnson,2018-2018,6,6,126,-,216,2,1/30,108.00,10.28,63.0,-,-,2,-, Kolkata Knight Riders
620,JH Kallis,2011-2014,56,48,918,1,1153,42,3/13,27.45,7.53,21.8,-,-,16,-, Kolkata Knight Riders
621,KD Karthik,2018-2021,61,-,0,-,-,-,-,0.00,-,-,-,-,35,6, Kolkata Knight Riders
622,M Kartik,2008-2010,26,25,526,-,581,16,3/17,36.31,6.62,32.8,-,-,10,-, Kolkata Knight Riders
623,K Khejroliya,2023-2023,2,2,26,-,64,2,2/44,32.00,14.76,13.0,-,-,-,-, Kolkata Knight Riders
624,Kuldeep Yadav,2016-2020,45,43,896,-,1236,40,4/20,30.90,8.27,22.4,-,-,11,-, Kolkata Knight Riders
625,CK Langeveldt,2009-2010,4,4,90,-,103,8,3/15,12.87,6.86,11.2,-,-,-,-, Kolkata Knight Riders
626,B Lee,2011-2013,25,25,572,2,723,16,2/26,45.18,7.58,35.7,-,-,4,-, Kolkata Knight Riders
627,Litton Das,2023-2023,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
628,CA Lynn,2014-2019,40,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Kolkata Knight Riders
629,BB McCullum,2008-2013,35,-,0,-,-,-,-,0.00,-,-,-,-,18,6, Kolkata Knight Riders
630,R McLaren,2013-2013,2,2,42,-,94,3,2/60,31.33,13.42,14.0,-,-,1,-, Kolkata Knight Riders
631,Mandeep Singh,2010-2023,6,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
632,Mashrafe Mortaza,2009-2009,1,1,24,-,58,-,-,0.00,14.50,-,-,-,-,-, Kolkata Knight Riders
633,AD Mathews,2009-2010,15,13,239,-,345,8,4/19,43.12,8.66,29.8,-,-,4,-, Kolkata Knight Riders
634,BAW Mendis,2008-2010,7,7,168,-,207,6,2/19,34.50,7.39,28.0,-,-,2,-, Kolkata Knight Riders
635,Mohammad Hafeez,2008-2008,8,4,60,-,68,2,1/8,34.00,6.80,30.0,-,-,1,-, Kolkata Knight Riders
636,Mohammed Shami,2013-2013,3,3,54,-,78,1,1/32,78.00,8.66,54.0,-,-,-,-, Kolkata Knight Riders
637,EJG Morgan,2011-2021,57,-,0,-,-,-,-,0.00,-,-,-,-,21,-, Kolkata Knight Riders
638,M Morkel,2014-2016,29,29,669,2,870,32,2/18,27.18,7.80,20.9,-,-,7,-, Kolkata Knight Riders
639,C Munro,2016-2016,4,2,12,-,15,-,-,0.00,7.50,-,-,-,2,-, Kolkata Knight Riders
640,KL Nagarkoti,2020-2021,11,10,168,-,256,5,2/13,51.20,9.14,33.6,-,-,4,-, Kolkata Knight Riders
641,NS Naik,2019-2020,2,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Kolkata Knight Riders
642,SP Narine,2012-2024,177,175,4075,3,4571,180,5/19,25.39,6.73,22.6,1,-,33,-, Kolkata Knight Riders
643,S Narwal,2013-2013,2,1,12,-,17,-,-,0.00,8.50,-,-,-,-,-, Kolkata Knight Riders
644,MK Pandey,2014-2024,56,-,0,-,-,-,-,0.00,-,-,-,-,25,-, Kolkata Knight Riders
645,MB Parmar,2010-2010,1,1,18,-,33,-,-,0.00,11.00,-,-,-,-,-, Kolkata Knight Riders
646,YK Pathan,2011-2017,106,45,546,1,674,21,3/20,32.09,7.40,26.0,-,-,25,-, Kolkata Knight Riders
647,RT Ponting,2008-2008,4,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kolkata Knight Riders
648,M Prasidh Krishna,2018-2021,34,34,746,-,1152,30,4/30,38.40,9.26,24.8,-,-,7,-, Kolkata Knight Riders
649,Y Prithvi Raj,2019-2019,2,2,30,-,57,1,1/29,57.00,11.40,30.0,-,-,-,-, Kolkata Knight Riders
650,CA Pujara,2010-2010,10,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kolkata Knight Riders
651,A Raghuvanshi,2024-2024,10,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Kolkata Knight Riders
652,AM Rahane,2022-2022,7,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Kolkata Knight Riders
653,Rahmanullah Gurbaz,2023-2024,14,-,0,-,-,-,-,0.00,-,-,-,-,15,-, Kolkata Knight Riders
654,AS Rajpoot,2016-2017,9,9,150,-,205,7,3/37,29.28,8.20,21.4,-,-,1,-, Kolkata Knight Riders
655,Ramandeep Singh,2024-2024,15,1,4,-,9,-,-,0.00,13.50,-,-,-,8,-, Kolkata Knight Riders
656,N Rana,2018-2024,90,23,174,-,249,10,2/11,24.90,8.58,17.4,-,-,20,-, Kolkata Knight Riders
657,Rasikh Salam,2022-2022,2,2,24,-,28,-,-,0.00,7.00,-,-,-,-,-, Kolkata Knight Riders
658,AS Roy,2022-2024,10,8,124,-,180,4,2/19,45.00,8.70,31.0,-,-,3,-, Kolkata Knight Riders
659,JJ Roy,2023-2023,8,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kolkata Knight Riders
660,AD Russell,2014-2024,120,105,1559,-,2417,114,5/15,21.20,9.30,13.6,1,-,35,-, Kolkata Knight Riders
661,WP Saha,2008-2010,33,-,0,-,-,-,-,0.00,-,-,-,-,13,5, Kolkata Knight Riders
662,Salman Butt,2008-2008,7,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kolkata Knight Riders
663,PD Salt,2024-2024,12,-,0,-,-,-,-,0.00,-,-,-,-,12,-, Kolkata Knight Riders
664,S Sandeep Warrier,2019-2021,5,5,102,-,134,2,2/31,67.00,7.88,51.0,-,-,1,-, Kolkata Knight Riders
665,PJ Sangwan,2012-2013,3,3,48,-,93,1,1/42,93.00,11.62,48.0,-,-,-,-, Kolkata Knight Riders
666,SS Sarkar,2009-2009,2,2,25,-,34,1,1/15,34.00,8.16,25.0,-,-,-,-, Kolkata Knight Riders
667,R Sathish,2016-2016,4,3,36,-,59,1,1/20,59.00,9.83,36.0,-,-,-,-, Kolkata Knight Riders
668,JPR Scantlebury-Searles,2018-2018,4,3,42,-,89,2,1/24,44.50,12.71,21.0,-,-,4,-, Kolkata Knight Riders
669,TL Seifert,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
670,SMSM Senanayake,2013-2013,8,8,192,1,209,9,2/26,23.22,6.53,21.3,-,-,2,-, Kolkata Knight Riders
671,OA Shah,2010-2010,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
672,SS Shaikh,2009-2009,2,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Kolkata Knight Riders
673,Shakib Al Hasan,2011-2021,51,50,1077,1,1288,47,3/17,27.40,7.17,22.9,-,-,11,-, Kolkata Knight Riders
674,I Sharma,2008-2010,31,31,661,1,862,25,2/15,34.48,7.82,26.4,-,-,4,-, Kolkata Knight Riders
675,Shivam Mavi,2018-2022,32,32,649,2,942,30,4/21,31.40,8.70,21.6,-,-,16,-, Kolkata Knight Riders
676,Shoaib Akhtar,2008-2008,3,3,42,-,54,5,4/11,10.80,7.71,8.4,-,-,-,-, Kolkata Knight Riders
677,Shubman Gill,2018-2021,58,-,0,-,-,-,-,0.00,-,-,-,-,23,-, Kolkata Knight Riders
678,LR Shukla,2008-2013,42,22,258,-,364,14,3/6,26.00,8.46,18.4,-,-,13,-, Kolkata Knight Riders
679,RK Singh,2018-2024,46,-,0,-,-,-,-,0.00,-,-,-,-,29,-, Kolkata Knight Riders
680,TG Southee,2021-2023,14,14,318,-,449,19,3/20,23.63,8.47,16.7,-,-,6,-, Kolkata Knight Riders
681,MA Starc,2024-2024,14,13,251,-,444,17,4/33,26.11,10.61,14.7,-,-,6,-, Kolkata Knight Riders
682,Suyash Sharma,2023-2024,13,13,258,-,372,10,3/30,37.20,8.65,25.8,-,-,1,-, Kolkata Knight Riders
683,T Taibu,2008-2008,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Kolkata Knight Riders
684,RN ten Doeschate,2011-2015,29,10,78,-,94,2,1/7,47.00,7.23,39.0,-,-,8,-, Kolkata Knight Riders
685,SN Thakur,2023-2023,11,9,126,-,220,7,2/23,31.42,10.47,18.0,-,-,4,-, Kolkata Knight Riders
686,MK Tiwary,2010-2013,54,3,18,-,34,1,1/11,34.00,11.33,18.0,-,-,30,-, Kolkata Knight Riders
687,A Tomar,2022-2022,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Kolkata Knight Riders
688,RA Tripathi,2020-2021,28,-,0,-,-,-,-,0.00,-,-,-,-,11,-, Kolkata Knight Riders
689,Umar Gul,2008-2008,6,6,135,1,184,12,4/23,15.33,8.17,11.2,-,-,-,-, Kolkata Knight Riders
690,JD Unadkat,2010-2016,12,11,206,-,316,10,3/26,31.60,9.20,20.6,-,-,3,-, Kolkata Knight Riders
691,RV Uthappa,2014-2019,86,-,0,-,-,-,-,0.00,-,-,-,-,36,22, Kolkata Knight Riders
692,MN van Wyk,2009-2009,5,-,0,-,-,-,-,0.00,-,-,-,-,7,-, Kolkata Knight Riders
693,CV Varun,2020-2024,70,69,1570,1,1967,82,5/20,23.98,7.51,19.1,1,-,14,-, Kolkata Knight Riders
694,R Vinay Kumar,2014-2018,11,11,215,-,346,9,2/26,38.44,9.65,23.8,-,-,3,-, Kolkata Knight Riders
695,D Wiese,2023-2023,3,1,18,-,38,-,-,0.00,12.66,-,-,-,2,-, Kolkata Knight Riders
696,CR Woakes,2017-2017,13,13,264,-,386,17,3/6,22.70,8.77,15.5,-,-,6,-, Kolkata Knight Riders
697,SA Yadav,2014-2017,54,1,6,-,8,-,-,0.00,8.00,-,-,-,25,-, Kolkata Knight Riders
698,UT Yadav,2014-2023,67,67,1371,2,1921,65,4/23,29.55,8.40,21.0,-,-,20,-, Kolkata Knight Riders
699,Yashpal Singh,2009-2009,8,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Kolkata Knight Riders
